"accuracies","n_authors","n_samples","FE_algorithm","n_gram","doc_len"
"0.36530612244897964","49","30","POS n-gram","1","1-46"
"0.3853061224489796","49","50","POS n-gram","1","1-46"
"0.39734693877551014","49","100","POS n-gram","1","1-46"
"0.40877551020408165","49","200","POS n-gram","1","1-46"
"0.41108843537414963","49","300","POS n-gram","1","1-46"
"0.41722448979591836","49","500","POS n-gram","1","1-46"
"0.31399999999999995","50","10","POS n-gram","1","1-46"
"0.32599999999999996","50","20","POS n-gram","1","1-46"
"0.3433333333333333","50","30","POS n-gram","1","1-46"
"0.37639999999999996","50","50","POS n-gram","1","1-46"
"0.3986","50","100","POS n-gram","1","1-46"
"0.40310000000000007","50","200","POS n-gram","1","1-46"
"0.4008","50","300","POS n-gram","1","1-46"
"0.40604000000000007","50","500","POS n-gram","1","1-46"
"0.9","2","10","POS n-gram","2","1-46"
"0.975","2","20","POS n-gram","2","1-46"
"0.9500000000000002","2","30","POS n-gram","2","1-46"
"0.9800000000000001","2","50","POS n-gram","2","1-46"
"1.0","2","100","POS n-gram","2","1-46"
"0.9925","2","200","POS n-gram","2","1-46"
"0.9849999999999998","2","300","POS n-gram","2","1-46"
"0.994","2","500","POS n-gram","2","1-46"
"0.8666666666666666","3","10","POS n-gram","2","1-46"
"0.85","3","20","POS n-gram","2","1-46"
"0.888888888888889","3","30","POS n-gram","2","1-46"
"0.9533333333333334","3","50","POS n-gram","2","1-46"
"0.9533333333333334","3","100","POS n-gram","2","1-46"
"0.9833333333333334","3","200","POS n-gram","2","1-46"
"0.9744444444444446","3","300","POS n-gram","2","1-46"
"0.9853333333333334","3","500","POS n-gram","2","1-46"
"0.925","4","10","POS n-gram","2","1-46"
"0.9125","4","20","POS n-gram","2","1-46"
"0.925","4","30","POS n-gram","2","1-46"
"0.9550000000000001","4","50","POS n-gram","2","1-46"
"0.9524999999999999","4","100","POS n-gram","2","1-46"
"0.9800000000000001","4","200","POS n-gram","2","1-46"
"0.9783333333333333","4","300","POS n-gram","2","1-46"
"0.983","4","500","POS n-gram","2","1-46"
"0.7","5","10","POS n-gram","2","1-46"
"0.9099999999999999","5","20","POS n-gram","2","1-46"
"0.9400000000000001","5","30","POS n-gram","2","1-46"
"0.9319999999999998","5","50","POS n-gram","2","1-46"
"0.9640000000000001","5","100","POS n-gram","2","1-46"
"0.9760000000000002","5","200","POS n-gram","2","1-46"
"0.9893333333333333","5","300","POS n-gram","2","1-46"
"0.9876000000000001","5","500","POS n-gram","2","1-46"
"0.8166666666666668","6","10","POS n-gram","2","1-46"
"0.9166666666666666","6","20","POS n-gram","2","1-46"
"0.961111111111111","6","30","POS n-gram","2","1-46"
"0.9766666666666666","6","50","POS n-gram","2","1-46"
"0.9783333333333333","6","100","POS n-gram","2","1-46"
"0.9824999999999999","6","200","POS n-gram","2","1-46"
"0.9916666666666668","6","300","POS n-gram","2","1-46"
"0.9896666666666667","6","500","POS n-gram","2","1-46"
"0.8714285714285713","7","10","POS n-gram","2","1-46"
"0.9071428571428573","7","20","POS n-gram","2","1-46"
"0.9380952380952381","7","30","POS n-gram","2","1-46"
"0.9685714285714285","7","50","POS n-gram","2","1-46"
"0.9671428571428573","7","100","POS n-gram","2","1-46"
"0.985","7","200","POS n-gram","2","1-46"
"0.9876190476190476","7","300","POS n-gram","2","1-46"
"0.9905714285714285","7","500","POS n-gram","2","1-46"
"0.8","8","10","POS n-gram","2","1-46"
"0.86875","8","20","POS n-gram","2","1-46"
"0.8541666666666667","8","30","POS n-gram","2","1-46"
"0.8775000000000001","8","50","POS n-gram","2","1-46"
"0.91625","8","100","POS n-gram","2","1-46"
"0.930625","8","200","POS n-gram","2","1-46"
"0.9450000000000001","8","300","POS n-gram","2","1-46"
"0.9520000000000002","8","500","POS n-gram","2","1-46"
"0.8","9","10","POS n-gram","2","1-46"
"0.8444444444444444","9","20","POS n-gram","2","1-46"
"0.8629629629629629","9","30","POS n-gram","2","1-46"
"0.8955555555555555","9","50","POS n-gram","2","1-46"
"0.9122222222222222","9","100","POS n-gram","2","1-46"
"0.9266666666666665","9","200","POS n-gram","2","1-46"
"0.9374074074074074","9","300","POS n-gram","2","1-46"
"0.9551111111111112","9","500","POS n-gram","2","1-46"
